number_of_vehicles,sex_of_driver,urban_or_rural_area,light_conditions,road_type,vehicle_left_hand_drive,first_point_of_impact,age_band_of_driver,age_of_vehicle,driver_home_area_type,vehicle_manoeuvre,road_surface_conditions,age_of_driver,accident_sev_Serious,accident_sev_Slight
2,2.0,1,1,1,1.0,2,8.0,4.0,1.0,4.0,2,50.0,0,1
2,1.0,1,4,6,1.0,2,8.0,14.0,1.0,3.0,2,50.0,0,1
2,2.0,1,1,6,1.0,3,7.0,15.0,1.0,9.0,1,37.0,1,0
3,1.0,1,4,6,1.0,0,6.0,1.0,1.0,18.0,2,29.0,0,1
2,1.0,1,1,3,1.0,1,9.0,13.0,1.0,18.0,1,58.0,0,1
1,1.0,1,4,6,1.0,1,6.0,2.0,1.0,18.0,1,27.0,1,0
2,2.0,1,1,3,1.0,1,5.0,2.0,1.0,3.0,1,22.0,0,1
2,1.0,1,1,6,1.0,2,6.0,13.0,1.0,4.0,1,30.0,0,1
2,1.0,1,4,6,1.0,4,6.0,7.0,1.0,18.0,1,31.0,1,0
2,1.0,1,1,2,2.0,1,6.0,1.0,1.0,5.0,1,28.0,0,1
2,2.0,1,1,6,1.0,3,9.0,14.0,1.0,18.0,2,60.0,0,1
2,2.0,1,1,6,1.0,2,9.0,3.0,3.0,4.0,1,65.0,0,1
2,1.0,1,4,3,1.0,2,7.0,13.0,1.0,3.0,2,38.0,1,0
2,1.0,1,1,6,1.0,1,7.0,0.0,1.0,10.0,1,38.0,1,0
1,1.0,1,1,6,1.0,1,11.0,2.0,1.0,4.0,1,82.0,0,1
2,1.0,1,1,3,1.0,9,4.0,5.0,1.0,99.0,1,19.0,1,0
2,1.0,1,4,6,1.0,1,5.0,5.0,3.0,5.0,2,24.0,0,1
2,1.0,1,1,3,1.0,3,6.0,0.0,1.0,7.0,1,27.0,0,1
2,2.0,1,7,3,1.0,9,6.0,4.0,1.0,99.0,2,35.0,1,0
2,2.0,1,1,6,9.0,9,6.0,4.0,1.0,99.0,9,30.0,0,1
2,1.0,1,4,6,1.0,1,8.0,6.0,1.0,18.0,1,47.0,0,1
2,1.0,1,1,6,1.0,4,6.0,6.0,1.0,9.0,1,26.0,0,1
1,1.0,1,4,6,1.0,1,7.0,4.0,1.0,9.0,1,44.0,1,0
4,1.0,1,1,6,9.0,2,6.0,6.0,1.0,3.0,1,28.0,0,1
1,1.0,1,1,6,1.0,1,8.0,9.0,1.0,3.0,1,51.0,0,1
2,1.0,1,1,7,1.0,2,7.0,4.0,1.0,7.0,1,37.0,0,1
2,1.0,1,1,1,1.0,9,5.0,1.0,1.0,99.0,1,24.0,0,1
2,1.0,1,1,6,1.0,1,6.0,1.0,1.0,18.0,1,29.0,0,1
2,1.0,1,1,2,1.0,2,7.0,2.0,1.0,99.0,1,39.0,0,1
2,1.0,1,1,6,9.0,2,7.0,4.0,1.0,99.0,1,37.0,0,1
