number_of_vehicles,sex_of_driver,urban_or_rural_area,light_conditions,road_type,vehicle_left_hand_drive,first_point_of_impact,age_band_of_driver,age_of_vehicle,driver_home_area_type,vehicle_manoeuvre,road_surface_conditions,age_of_driver,accident_sev_Serious,accident_sev_Slight
1,1.0,1,7,6,9.0,9.0,9.0,17.0,1.0,99.0,1,63.0,0,1
3,1.0,1,4,3,1.0,1.0,9.0,2.0,3.0,4.0,1,59.0,0,1
2,1.0,1,4,6,1.0,1.0,4.0,9.0,1.0,10.0,1,20.0,0,1
3,1.0,1,1,6,1.0,1.0,10.0,10.0,1.0,18.0,1,68.0,0,1
2,1.0,1,1,6,9.0,9.0,8.0,11.0,1.0,99.0,2,48.0,0,1
1,1.0,1,1,6,1.0,3.0,6.0,2.0,1.0,18.0,1,30.0,1,0
2,1.0,1,4,3,1.0,1.0,9.0,10.0,1.0,16.0,1,57.0,0,1
2,2.0,1,6,3,9.0,9.0,6.0,5.0,1.0,99.0,1,32.0,0,1
1,1.0,1,1,6,1.0,0.0,6.0,10.0,1.0,5.0,1,32.0,1,0
2,1.0,1,4,6,1.0,1.0,7.0,2.0,1.0,18.0,2,38.0,0,1
2,1.0,1,1,6,1.0,1.0,4.0,5.0,1.0,18.0,1,19.0,0,1
2,1.0,1,4,3,1.0,1.0,7.0,15.0,1.0,9.0,1,37.0,0,1
2,1.0,1,1,6,9.0,2.0,7.0,12.0,1.0,99.0,1,36.0,0,1
2,1.0,2,4,3,1.0,3.0,5.0,24.0,1.0,5.0,1,23.0,0,1
2,1.0,1,4,3,1.0,3.0,6.0,17.0,1.0,18.0,2,30.0,0,1
3,2.0,1,4,3,1.0,1.0,7.0,8.0,1.0,10.0,1,40.0,1,0
2,1.0,1,4,1,2.0,0.0,11.0,3.0,1.0,17.0,2,76.0,0,1
1,1.0,1,1,6,1.0,3.0,8.0,11.0,1.0,9.0,2,50.0,0,1
2,2.0,1,4,6,1.0,1.0,6.0,5.0,1.0,10.0,2,30.0,0,1
2,2.0,1,1,1,9.0,4.0,5.0,5.0,1.0,99.0,1,21.0,0,1
2,1.0,1,1,3,9.0,2.0,7.0,8.0,1.0,3.0,9,41.0,0,1
2,1.0,1,1,3,1.0,1.0,6.0,0.0,1.0,18.0,1,34.0,1,0
2,1.0,1,1,6,1.0,1.0,6.0,15.0,1.0,18.0,1,28.0,0,1
2,1.0,1,1,2,1.0,1.0,6.0,4.0,1.0,5.0,2,30.0,0,1
2,2.0,1,4,6,1.0,0.0,5.0,4.0,1.0,9.0,1,23.0,0,1
2,2.0,2,1,6,9.0,2.0,7.0,13.0,1.0,99.0,1,38.0,0,1
2,1.0,1,4,6,1.0,3.0,9.0,8.0,1.0,9.0,2,64.0,0,1
2,2.0,1,1,6,1.0,1.0,11.0,1.0,1.0,17.0,1,79.0,0,1
2,1.0,1,1,9,9.0,9.0,6.0,12.0,1.0,99.0,1,26.0,0,1
2,1.0,1,1,9,1.0,9.0,6.0,4.0,1.0,99.0,9,28.0,0,1
1,1.0,1,4,6,1.0,1.0,7.0,5.0,1.0,18.0,1,44.0,0,1
1,1.0,1,1,6,1.0,1.0,8.0,15.0,1.0,14.0,1,47.0,0,1
2,1.0,1,4,6,1.0,1.0,8.0,4.0,1.0,18.0,1,49.0,0,1
1,1.0,1,1,6,1.0,4.0,6.0,8.0,1.0,16.0,1,32.0,0,1
4,1.0,2,4,3,1.0,1.0,7.0,6.0,1.0,18.0,2,37.0,0,1
2,1.0,1,1,6,1.0,4.0,7.0,4.0,1.0,7.0,1,44.0,0,1
2,1.0,1,1,6,1.0,2.0,7.0,7.0,1.0,4.0,1,36.0,0,1
3,1.0,1,4,3,1.0,2.0,10.0,13.0,2.0,4.0,1,66.0,0,1
4,1.0,1,1,2,1.0,1.0,6.0,5.0,1.0,18.0,1,28.0,0,1
1,1.0,1,1,6,1.0,2.0,7.0,5.0,1.0,9.0,1,42.0,1,0
2,1.0,1,1,6,1.0,1.0,4.0,10.0,1.0,9.0,1,19.0,0,1
2,1.0,1,1,6,1.0,2.0,6.0,4.0,1.0,99.0,1,33.0,0,1
2,2.0,1,1,6,1.0,1.0,6.0,6.0,1.0,18.0,1,32.0,0,1
2,1.0,1,4,3,9.0,2.0,6.0,3.0,1.0,99.0,2,28.0,0,1
